#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Agresividad,Resistencia,Movilidad,Especialista ofensivo,Especialista defensivo,Balanceado
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,0.3584905660377358,0.5,0.14150943396226415,0.050314465408805034,0.050314465408805034,8.640987597877148
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,0.3506172839506173,0.5012345679012346,0.14814814814814814,0.044444444444444446,0.04197530864197531,8.902246907382429
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,0.3466666666666667,0.5009523809523809,0.1523809523809524,0.03428571428571429,0.03238095238095238,8.902246907382429
3,VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,False,0.3552,0.5168,0.128,0.0352,0.0048,18.747592438023133
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,0.36245954692556637,0.42718446601941745,0.21035598705501618,0.025889967637540454,0.022653721682847898,8.99536917900909
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,0.35555555555555557,0.4469135802469136,0.19753086419753085,0.03950617283950617,0.01728395061728395,9.233092656309694
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,0.36142322097378277,0.45131086142322097,0.18726591760299627,0.04681647940074907,0.013108614232209739,11.575836902790225
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False,0.41009463722397477,0.43217665615141954,0.15772870662460567,0.0,0.04100946372239748,20.154955277107966
6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False,0.4148264984227129,0.4274447949526814,0.15772870662460567,0.08675078864353312,0.0583596214511041,27.378012264508094
7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,0.31210191082802546,0.5509554140127388,0.13694267515923567,0.006369426751592357,0.0031847133757961785,8.919392106839767
8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,0.3160493827160494,0.5407407407407407,0.14320987654320988,0.0049382716049382715,0.0,9.142392101268317
9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,0.3169811320754717,0.5358490566037736,0.1471698113207547,0.0037735849056603774,0.009433962264150943,10.386957633921922
9,BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,False,0.37777777777777777,0.4984126984126984,0.12380952380952381,0.050793650793650794,0.007936507936507936,20.952326839756964
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,0.2564102564102564,0.5128205128205128,0.23076923076923078,0.05128205128205128,0.07692307692307693,10.307764064044152
